url,post_nummer,boligtype,boligstorrelse,grundstorrelse,vaerelser,etage,byggeår,om_byggeår,skatter,boligareal_tinglyst,toiletter,badevaerelser,pris,handelstype,salgsmaned,salgsar
https://www.boliga.dk/salg/info/230/9775/8523617F-B7B8-418F-B3B5-5BAC4B8EEE2B,"Søllerød Park 16, st. 3 2840 Holte",Ejerlejlighed,100,0,4,0,1956,0,1874,96,1,1,2150000,Salg i øvrigt,12,2008
https://www.boliga.dk/salg/info/101/379680/488DA238-1FC7-48D4-A223-634E00CACAF6,"Øresund Parkvej 6, st. tv 2300 København S",Ejerlejlighed,84,0,2,0,2003,0,1771,80,1,1,1800000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/167/132383/4299B09E-38A6-4431-A44E-4B7E52B2E1C8,Planteheldvej 1A 2650 Hvidovre,Ejerlejlighed,77,0,3,2,1986,0,1128,78,1,1,1750000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/249719/4428CD8F-B42F-4F64-A019-DAE334EA237F,"Hyltebjerg Allé 4, 3. th 2720 Vanløse",Ejerlejlighed,76,0,3,3,1938,0,1191,68,1,1,1400000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/697592/67EBD8F6-4ED8-4321-832F-FA239E1C5E9E,"Lersø Parkallé 59, 1. tv 2100 København Ø",Ejerlejlighed,72,0,3,1,1926, ,1172,67,1,1,1345000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/147/238541/F2FF3F4D-D5A9-4F02-9857-DCFEC48666B5,"Borups Alle 128, 5. 3 2000 Frederiksberg",Ejerlejlighed,65,0,2,5,1990,0,1366,51,1,1,1220000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/720365/4A890DE9-3A0C-4EEF-9190-FEDDCFC42839,"Tagensvej 51, 4. th 2200 København N",Ejerlejlighed,66,0,3,4,1933,0,955,62,1,1,1200000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/85520/BEED84A2-EEA3-48BC-92D6-8C91184756CC,"Vester Søgade 76, 2. th 1601 København V",Ejerlejlighed,81,0,2,2,1938,0,962,70,1,1,2000000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/157/151975/CC54AEEE-C8ED-4E1C-BC54-5F8AD24E8289,"Prinsesse Alexandrines Alle 12, 3. th 2920 Charlottenlund",Ejerlejlighed,121,0,5,3,1904,1998,1824,103,1,1,2850000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/230/10784/C9E6028B-4C90-45F3-9854-193560015743,"Vejlesøparken 1, 3. 315 2840 Holte",Ejerlejlighed,64,0,2,3,1973,0,1136,54,1,1,1175000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/739384/B3AFE3EA-8B22-4046-B654-F38C6B107C4C,"Solvænget 1, 2. tv 2100 København Ø",Ejerlejlighed,127,0,4,2,1931,0,2766,113,2,1,2400000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/396983/265B23E6-7A3B-480B-B30D-ED2BC4379BAB,"Nordre Frihavnsgade 61, 2. th 2100 København Ø",Ejerlejlighed,81,0,4,2,1895,0,1374,73,1,1,1735000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/147/75723/2197EC7C-45C4-4985-88A0-5CA21791A534,"Marielystvej 2, st. tv 2000 Frederiksberg",Ejerlejlighed,67,0,2,0,1934,0,1075,75,1,1,1075000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/147/150652/581C9AE2-7A4F-4E4F-B173-91973BEDA848,"Godthåbsvænget 13, 1. tv 2000 Frederiksberg",Ejerlejlighed,101,0,3,1,1972,0,1863,89,2,1,1900000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/120848/5A75D16A-6E08-4395-A5AD-25BF3DD86E3F,"Enghave Plads 7, 1. th 1670 København V",Ejerlejlighed,99,0,4,1,1901,0,1491,88,1,1,2350000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/147/206720/C51BE042-9227-4E7E-9BD0-8333E5E7EA2E,"Forchhammersvej 2, 4. th 1920 Frederiksberg C",Ejerlejlighed,154,0,5,4,1899, ,2382,142, , ,3300000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/993752/9059060D-536B-4D31-96D9-D0BE96AB1E1A,"Sigynsgade 50, 4. tv 2200 København N",Ejerlejlighed,92,0,3,4,1991,0,2046,82,1,1,1600000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/7159/7C326C1A-68AA-430E-BC58-D223B9E28374,"Viborggade 69, 4. 2100 København Ø",Ejerlejlighed,203,0,6,4,2009,0,5676,200,2,1,7600000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/147517/F03E6330-350A-4C91-822C-F2882FF94293,"Folehaven 100, st. tv 2500 Valby",Ejerlejlighed,56,0,2,0,1939,0,605,51,1,1,1495000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/63240/3328621F-B9F8-42E6-AA2D-82ADC8C8D863,"Borups Allé 223, 1. th 2400 København NV",Ejerlejlighed,62,0,2,1,1928,1956,1010,57,1,1,1000000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/3638/56EF4B86-FFDE-4514-B153-FFAF88280EF0,"C.F. Møllers Allé 58, 3. tv 2300 København S",Ejerlejlighed,93,0,3,3,2007,0,2061,80,1,1,2555000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/147/74263/8DC4BEBA-6447-4958-A0C1-2140E06A99DB,"Madvigs Alle 4, 2. th 1829 Frederiksberg C",Ejerlejlighed,110,0,4,2,1895,0,1927,106,1,1,2925000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/173/16085/BBEF3F27-482A-49B5-966A-C2B19637BF10,"Bredebovej 27, 2. th 2800 Kongens Lyngby",Ejerlejlighed,90,0,3,2,1969,0,1442,94,1,1,1700000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/817423/8CB782CB-130A-483E-AA7A-6B08F5AE878D,"Valløvej 2, 2. tv 2700 Brønshøj",Ejerlejlighed,72,0,3,2,1931,0,1160,65,1,1,1525000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/159/157334/6EAEBCBE-F632-488D-A29A-EF7AD5E90EB1,"Aldershvilevej 117, st. d 2880 Bagsværd",Ejerlejlighed,46,0,1,0,1965,0,615,46,1,1,915000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/866408/50D70AB2-EF21-4DA9-9ABE-DFB46E5622B7,"Store Kongensgade 96, 4. tv 1264 København K",Ejerlejlighed,93,0,4,4,1931,1940,1477,87,1,1,2770000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/765270/933D5AF8-E79D-40E2-8831-549FBDC95C7E,"Teglholmsgade 6C, st. th 2450 København SV",Ejerlejlighed,70,0,2,0,2006,0,1354,63,1,1,1475000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/777286/FDB43D00-88A9-4FE1-9549-743704D0A165,"Heimdalsgade 42, 2. 19 2200 København N",Ejerlejlighed,48,0,1,2,1975,0,667,35,1,1,500000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/104150/29A3B2FE-C659-48DA-A1BA-026EE543F87A,"Vester Søgade 48, 5. tv 1601 København V",Ejerlejlighed,111,0,4,5,1939,0,1312,99,2,1,3700000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/866416/4189E046-494B-4C48-B5AB-008511C49546,"Store Kongensgade 96, 4. th 1264 København K",Ejerlejlighed,62,0,2,4,1931,1940,1370,56,1,1,1950000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/101/818098/B2300008-88F0-4A17-9F54-77E949B1544B,"Næstvedgade 4, 4. 2100 København Ø",Ejerlejlighed,199,0,5,4,1890,0,3298,175,2,1,4000000,Alm. frit salg,12,2008
https://www.boliga.dk/salg/info/159/174018/B49C6F24-D99D-47C5-8D7A-4E7EE17090E0,"Bagsværddal 20, 2. 5 2880 Bagsværd",Ejerlejlighed,81,0,1,2,1971,0,889,70,1,1,900000,Alm. frit salg,12,2008
